Artista,Nome da Música,Letra da Música
Mastruz Com Leite,Casa Separada,"Não sou vaqueiro mas gosto de vaquejada
De forró de cachaçada, de uma mulher bonequeira
Não ando a cavalo, eu só ando de carro
Mas sou doido por embalo
Com as muies na bagaceira
Vaquejada é um esporte do Nordeste Brasileiro
De muher e de vaqueiro
Que gosta de forrozar
Sexta, sábado e domingo eu estou sempre bebendo
Tô doidinho, tô querendo uma mulher pra chamegar
Ai, ai, ai uma mulher pra chodozar
Ai, ai, ai uma mulher pra namorar
Ai, ai, ai uma mulher pra nós casar
Sexta, sábado e domingo e segunda se separar"
Mastruz Com Leite,Cavalo Lampeão,"Vou contar a minha história
Do meu cavalo alazão
Era meu melhor amigo
Eu dei-lhe o nome lampião
Por ser um destemido
Cavalo ligeiro, corajoso
Onde ele ia comigo
Gado valente era medroso

Fazia o que eu mandava
Subia serra, encerração
E em toda vaquejada
Eu era sempre campeão

E lampião, ê lampião
Meu cavalo ligeiro Bis
Mais veloz do meu sertão

Era o cavalo mais cotado
De toda região
Pois em toda a vaquejada
Todo boi ia pro chão
Um vaqueiro respeitado
Era sempre campeão
Tudo isso só por causa
Do meu cavalo lampião

Mas um dia o destino
Veio a gente separar
Eu estava adivinhando
Na pista não entrar

Uma novilha assassina
Me puxou logo pro chão
Com seus chifres afiados
Veio em minha direção
Sem defesas, eu estava
Partiu de lá, meu lampião
A novilha assassina
Acertou seu coração"
Mastruz Com Leite,Chance Para Recomeçar,"Senhor! Me responde senhor eu preciso
Só você poder ser meu amigo
E olhar minha situação

Senhor! Me diz se o que sinto é loucura
Ás vezes me sinto inseguro
Se vou fazê-la feliz

Ninguém quer vê-la perto de mim
Eu quero tê-la pra mim
Por que a amo senhor

Será por que antes eu tive alguém
Mas não fui feliz com ninguém
Eu acho que não era amor

Vou ser condenado? Me diz ô meu senhor
Será que não tenho a chance de recomeçar
Ela é minha vida, posso afirmar

Sei que a quero e amo
E vamos tentar

Ninguém quer vê-la perto de mim
Eu quero tê-la pra mim
Por que a amo senhor

Será por que antes eu não fui feliz
Já tive alguém e desfiz
Eu acho que não era amor"
Mastruz Com Leite,Chililique,"O maior forró pelo que eu ouvir dizer
É na praia da ilha, você pode crer

Que as dez da noite, o forró já tá de pé
Sanfoneiro abre a sanfona e só se vê chegá mulher
Tem buscapé, o caldo de feijão no bar
Com meia légua de escuta, o som do chinelo chiar

É chililique, chililique, chililique
Chililique, chililique, a poeira lavantar
É chililique, chililique, chililique
Se a gente quer um repique o cabra no zabumba dá"
Mastruz Com Leite,Chupando gelo,"Tu ta comendo vidro
Não pai
To chupando a pedra d água

Joga essa peste fora
Frio
Esse diabo dói o dente
Frio
Olha que eu fui pegar nela

E minha mão ficou dormente
Frio
Botei ela dentro do saco
Frio
E guardei que ninguém viu
Frio
Molhou a farinha toda
Frio
Fez o trabalho e fugiu

Tu ta comendo vidro
Não pai
To chupando a pedra d água"
Mastruz Com Leite,Ciúme de você,"Se você demora mais um pouco
Eu fico louco esperando por você
E digo que não me preocupa
Procuro uma desculpa
Mas que todo mundo vê

Que é ciúme, ciúme de você
Ciúme de você, ciúme de você
Mas é ciúme, ciúme de você
Ciúme de você, ciúme de você

Se você põe aquele seu vestido
Lindo e alguém olha pra você
Eu digo que já não gosto dele
Que você não vê que ele
Está ficando ""démodé""

Mas é ciúme, ciúme de você
Ciúme de você, ciúme de você
Mas é ciúme, ciúme de você
Ciúme de você, ciúme de você

Esse telefone que não para de tocar
Está sempre ocupado quando eu penso em lhe falar
Quero então saber logo quem lhe te telefonou
O que disse, o que queria, e o que você falou

Só de ciúme, ciúme de você
Ciúme de você, ciúme de você
Mas é ciúme, ciúme de você
Ciúme de você, ciúme de você


Se você me diz que vai sair
Sozinha, eu não deixo você ir
Entenda que o meu coração
Tem amor demais, meu bem e essa é a razão

Do meu ciúme, ciúme de você
Ciúme de você, ciúme de você
Mas é ciúme, ciúme de você
Ciúme de você, ciúme de você

Mas é ciúme, ciúme de você
Ciúme de você, ciúme de você
Mas é ciúme, ciúme de você
Ciúme de você..."
Mastruz Com Leite,Como te Queria,"Se você soubesse como eu te queria
Como te olhava sempre que eu te via
Queria trazê-lo só pra mim
Se você soubesse como eu te amava
Nada nesse mundo ultrapassava um sentimento lindo assim

Sonhava ao teu lado acordar
E pela manhã sempre te amar
E fazê-lo todo meu
Ter sempre o teu abraço, teu sorriso
Você é o que eu preciso
Paraíso todo meu

Ui, ui, ui só você não vê
Que eu preciso de você
(Bis)"
Mastruz Com Leite,Como Um Sonho,"Como um sonho que se vai
O dia vai nascendo
As luzes se apagam
E você vai pra longe de mim

Como um sonho que se vai
O dia vai nascendo
E espero outra noite
Assim

Ter você
É tão gostoso poder te amar
Em teus braços poder ficar
E sentir esse mesmo amor
Que demontras em teu olhar

Tudo em você me conquista
A cada dia
O teu sorriso é minha alegria
O motivo do meu viver
Que já não vive sem você

Fico a te olhar
E agradeço por ter você
O teu amor é que me faz dizer
Como preciso de você

Sei que vou te amar
A cada dia bem mais, bem mais
E sentir contigo essa paz
Que só o teu amor me trás

Me entrego em teus braços
Por inteira
E viajo por um céu
Um paraíso só pra mim
Perco a noção do tempo
E no meu pensamento
É só você, você e eu

Como um sonho que se vai
O dia vai nascendo
As luzes se apagam
E você vai pra longe de mim

Como um sonho que se vai
O dia vai nascendo
E espero outra noite
Assim"
Mastruz Com Leite,Conto de Fadas,"Há tempo que estou tão sozinha
Carente sem você aqui
Olhando o vazio em minha vida e bem dentro de mim
Te amar foi um sonho vivido por mim que ninguém viveu
Você foi a melhor de mil coisas que me aconteceu
Eu tenho você como parte de mim e da minha alma
Você veio a mim como um conto de fadas

Estar sozinha sem você é viajar na contramão
É magoar demais, torturar demais o meu coração
É riacho sem água, procurando um caminho
Pássaro ferido voando perdido, buscando o seu ninho

Há tempo que estou tão sozinha
Carente sem você aqui
Olhando o vazio em minha vida e bem dentro de mim
Te amar foi um sonho vivido por mim que ninguém viveu
Você foi a melhor de mil coisas que me aconteceu
Eu tenho você como parte de mim e da minha alma
Você veio a mim como um conto de fadas

Estar sozinha sem você é viajar na contramão
É magoar demais, torturar demais o meu coração
É riacho sem água, procurando um caminho
Pássaro ferido voando perdido, buscando o seu ninho

Eu tenho você como parte de mim e da minha alma
Você veio a mim como um conto de fadas

Estar sozinha sem você é viajar na contramão
É magoar demais, torturar demais o meu coração
É riacho sem água, procurando um caminho
Pássaro ferido voando perdido, buscando o seu ninho"
Mastruz Com Leite,Cuidado com as coisas,"Cuidado com as coisas
As coisas que eu vou lhe dar
As coisas que eu lhe prometi
As coisas você vai gostar
A coisa melhor desse mundo
Quando a gente tem as coisas
E as coisas podem dar
São as coisas que ajudam outras coisas
Quando as outras coisas querem piorar
Assim muito cuidado com as coisas
Que as coisas é muito amor que eu vou te dar
Cuidado com as coisas
Agora lhe peço uma coisa
Muito jeito com as coisas
Que é pras coisas melhorar
Muita gente não aceita essas coisas
Que as coisas não é fácil de aceitar
Eu vou misturar coisa com coisa
E as coisas é muito amor que vou te dar"
Mastruz Com Leite,Despedida,"Se te quero eu ja nem sei
Pra que viver de fantasias
Voce foi tudo que um dia eu sonhei
O grande amor da minha vida
Eu que sempre acreditei
Em suas frases tao bonitas
Nos carinhos que voce me fez
Mas sem pensar na despedida

Boca que eu tanto beijei
Corpo que acariciei
Toda paixao ficou contida
Voce se foi e eu fiquei tao so

Sofrendo chorando morrendo
De amor
No quarto lembranças amargas
Que voce deixou
Choro tanto mas nao sei dizer
Se gosto mais de mim ou de voce"
Mastruz Com Leite,Diz que sou seu paraíso,"Tem algúem apaixonado ai?
valeu!

Vem amor mefaz feliz
E diz que me ama também
Diz que sou seu paraíso

Quando ficou tão sozinha
É que eu sei como eu te amo
Meu amor eu não queria
Ver o maor se separando
Mesmo que seja por pouco tempo
Amor não quero
Estar longe de você me desespero
Gosto de estar junto de ti
Só você me faz sentir
A vida é tudo e muito mais
Bem mais do que eu sonhei pra mim

Refrão
Vem amor mefaz feliz
E diz que me ama também
Diz que sou seu paraíso
Vem amor me ama em nossa cama
E me leva tanbém na paz dp teu sorriso

Vem se apaixonar
Vem se apaixonar
com forró Mastruz com Leite

Quando ficou tão sozinha
É que eu sei como eu te amo
Meu amor eu não queria
Ver o maor se separando
Mesmo que seja por pouco tempo
Amor não quero
Estar longe de você me desespero
Gosto de estar junto de ti
Só você me faz sentir
A vida é tudo e muito mais
Bem mais do que eu sonhei pra mim"
Mastruz Com Leite,É bom arrasta pé,"É bom arrasta pé
É bom arrasta pé
Se tiver pouca poeira
E se tiver muita mulher

É claro, pois tem fogueira
É claro que tem balas
É claro que no escorinho
Vai ter um amassa mamão

Refrão

Esse ano eu vou ser noivo
Com vocêquero me casar
Vamos pular a fogueira
E de um pulo só
Cair nos pés do altar

Refrão

Ligeiro que nem um traque
Por você me apaixonei
Feito fogos de artifício
Você me beijou
E eu me desmanchei

Refrão"
Mastruz Com Leite,Erro e Perdão,"Não desligue amor
Escute o que tenho pra falar
Te magoei demais
Só agora eu sei
O que é te perder

Estou sofrendo tanto
Sem ter você
Só eu sei a saudade que senti
As noites mal dormidas que eu vivi
Sem ter você

Te amo mais que a imensidão do mar
Me sinto uma onda nas pedras a se arrebentar
Eu quero apenas ouvi o teu perdão
Pra trazer de volta o meu coração
E chamar teu nome, a todo momento
Quero que saiba

No meu caminho um dia te encontrei
Me fez feliz demais hoje eu sei
Agora estou aqui a me arrepender
Hoje sou eu amanhã pode ser você
Me perdoa amor, não me diga adeus
Quero te dizer, te amo

Me perdoa amor, não me diga adeus
Quero te dizer, te amo"
Mastruz Com Leite,Estamos Dando Um Tempo,"A gente apenas está dando um tempo
Mas ainda sente a mesma paixão
Eu pra você não tenho mais orgulho
Você pra mim não tem opinião

Mas não nos permitimos
Gostar de outra pessoa
E assim que a raiva passa o amor perdoa

São dois em um os nossos corações
Pra que brigar se a gente não resiste
Se os meus olhos sem os seus são cegos
Se a sua boca sem a minha é triste

As nossas divergências
Saudade é a solução
Nós somos dominados pelo coração

Quando brigamos você perde o sono
Quando eu não ligo fica impaciente
Não tem problema que não se resolva
Não tem distância que separe a gente

E nós nos afastamos
Nem mesmo a gente crer
Não faço mais por onde esquecer você

E nós nos afastamos
Nem mesmo a gente crer
Não faço mais por onde esquecer você"
Mastruz Com Leite,Estrela Cadente,"Eu vi caindo do céu uma estrela cadente
Então de repente pensei em você
Uma noite linda, noite de São João
E o pedido que eu fiz menina foi pra ganhar seu coração

Fui pro arraiá, fui te procurar, encontrei você
Com chapéu de palha, o rosto pintado, tinha lindas tranças
Tudo aconteceu como eu sonhei, viva São João
Me fez tão feliz, veio me entregar o seu coração

Viva São João
Me fez tão feliz, veio me entregar o seu coração
(Bis)

Eu vi caindo do céu uma estrela cadente
Então de repente pensei em você
Uma noite linda, noite de São João
E o pedido que eu fiz menina foi pra ganhar seu coração

Fui pro arraiá, fui te procurar, encontrei você
Com chapéu de palha, o rosto pintado, tinha lindas tranças
Tudo aconteceu como eu sonhei, viva São João
Me fez tão feliz, veio me entregar o seu coração

Viva São João
Me fez tão feliz, veio me entregar o seu coração
(Bis)"
Mastruz Com Leite,Eu só quero um xodó,"Que falta eu sinto de um bem
Que falta me faz um xodó
Mas como eu não tenho ninguém
Eu levo a vida assim tão só

Eu só quero um amor
Que acabe o meu sofrer
Um xodó prá mim
Do meu jeito assim
Que alegre o meu viver"
Mastruz Com Leite,"Eu, Você e o Amor","Lembro
Do dia em que eu te conheci
Dos momentos que tivemos
A alegria que vivemos

Era eu, você, e o amor

Lembro
Daquela noite ao luar
Quando juntos caminhamos
Na areia nos amamos
O sol nasceu e a gente estava lá

Como posso te esquecer
Se eu te amo
Se eu te chamo
Se eu quero tudo outra vez!

Como posso te esquecer
Se eu te amo
Se eu te chamo
Se quero tudo outra vez"
Mastruz Com Leite,Explodindo de Paixão,"Me apaixonei por você
Como te amei
Por este teu lindo corpo me fascinei
Quero está em teus braços
Entre abraços e amassos
Me perder

Vou te pegar no meu colo
E te beijar, e te levar comigo
Pra algum lugar
Dançar contigo colado
No seu corpo grudado
Até clarear

E no tocar
No dedilhar da sanfona
Vou descendo
Meus dedos no teu corpo
E na emoção
Que sempre traz o forró
Vou procurar um cantinho
Pra gente ficar só

E eu no seu ouvido
Despertando, sorrindo
Sentindo gemidos de prazer
A gente mesmo ascende a nossa fogueira
Solta o nosso balão faz acontecer

Olho pro céu, vejo o mesmo estrelado
Nosso amor coroado de tanta luz
Se é São Pedro, Antônio e São João
Nosso amor explodindo de paixão"
Mastruz Com Leite,Fazer Amor Com Outra,"Amanhecer com ele
Aqui ao meu lado não
É como estar contigo
Não é normal, porquê?

Ao lado dele é como acordar sozinha
Amanhecer com ele
Foi como se nada tivesse acontecido
E te fazer sofrer
Pra descontar tudo o que você fez comigo
Sem tuas unhas me arraiando
Sinto falta
Sem tuas mão me apertando
Não tem graça
Sem teu beijo envenenando
Minha garganta
Sem teus dentes que tortura
Sem isso eu não sinto nada

Fazer amor com outro, não, não, não
Não é a mesma coisa
É estranho, é diferente
Só você sabe tocar meu corpo
Só você sabe matar o meu desejo

Fazer amor com outro, não, não, não
Eu fico desligada
É como não fazer nada
Falta dar a alma em cada beijo
Só você sabe como me levar ao céu

E te esqucer com ele
E me vingar das suas infidelidades
Mas me deixou tão mal
Só com você me sinto bem fico a vontade
Sem tuas unhas me arraiando
Sinto falta
Sem tuas mão me apertando
Não tem graça
Sem teu beijo envenenando
Minha garganta
Sem teus dentes, que tortura
Sem isso eu não sinto nada"
Mastruz Com Leite,Feira Dançante,"Forró na feira de Caruaru
É muito bom pra gente dançar
O sanfoneiro é bom de concertina
Até vitalino vem admirar
Forró chegou é no Rio de Janeiro
Pro carioca também escurtar
É bom na feira de São Cristóvão
Que tem nordestino que sabe dançar

E no compasso do zabumbeiro
A menininha vem se requebrar
Forró na feira é bom e dá dinheiro
E dinheiro no bolso não pode faltar
Mas o forró é bem brasileiro
Agente dança em todo lugar
Forró na feira e feira no forró
A mistura perfeita pra arrochar o nó

(Refrão)
Olha o boné, olha o Cd
Forró nordestino, aqui pra você
Venha dançar, venha comprar
A feira dançante não pode parar
(Bis)

Forró na feira de Caruaru
É muito bom pra gente dançar
O sanfoneiro é bom de concertina
Até vitalino vem admirar
Forró chegou é no Rio de Janeiro
Pro carioca também escurtar
É bom na feira de São Cristóvão
Que tem nordestino que sabe dançar

E no compasso do zabumbeiro
A menininha vem se requebrar
Forró na feira é bom e dá dinheiro
E dinheiro no bolso não pode faltar
Mas o forró é bem brasileiro
Agente dança em todo lugar
Forró na feira e feira no forró
A mistura perfeita pra arrochar o nó

(Refrão"
Mastruz Com Leite,Feira de Mangaio,"Fumo de rolo, arreio de cangalha
Eu tenho pra vender, quem quer comprar
Bolo de milho, broa e cocada
Eu tenho pra vender, quem quer comprar
Pé de moleque, alecrim, canela
Moleque sai daqui me deixa trabalhar
E Zé saiu correndo pra feira dos pássaros
E foi pássaro voando pra todo lugar
Tinha uma vendinha no canto da rua, onde o mangaieiro ia se animar
Tomar uma bicada com lambú assado, e olhar pra Maria do Joá
Tinha uma vendinha no canto da rua, onde o mangaieiro ia se animar
Tomar uma bicada com lambú assado, e olhar pra Maria do Joá
Cabresto de cavalo e rabichola
Eu tenho pra vender, quem quer comprar
Farinha, rapadura e graviola
Eu tenho pra vender, quem quer comprar
Pavio de candeeiro, panela de barro
Menino vou me embora, tenho que voltar
Xaxar o meu roçado que nem boi de carro
Alpargata de arrasto não quer me levar
Porque tem um Sanfoneiro no canto da rua, fazendo floreio pra gente dançar
Tem Zefa de Purcina fazendo renda, e o ronco do fole sem parar
Porque tem um Sanfoneiro no canto da rua, fazendo floreio pra gente dançar
Tem Zefa de Purcina fazendo renda, e o ronco do fole sem parar"
